Series Name,Inflation ,Population growth ,Unemployment Rate
1991,2.542,2.695,6.389
1992,1.633,1.032,6.381
1993,4.145,0.999,6.373
1994,4.13,0.935,6.366
1995,4.427,0.697,6.358
1996,2.054,0.657,6.35
1997,3.112,0.757,6.343
1998,2.385,0.65,6.335
1999,2.135,0.593,6.328
2000,2.37,0.645,6.32
2001,2.929,0.751,7.11
2002,2.188,0.746,6.9
2003,1.304,0.658,7.49
2004,2.791,0.672,7.32
2005,3.008,0.637,6.92
2006,2.774,0.364,6.8
2007,1.249,0.349,6.47
2008,4.259,0.651,5.98
2009,2.084,0.754,6.89
2010,1.516,0.491,6.85
2011,2.963,0.424,6.38
2012,2.376,0.899,6.2
2013,1.18,1.404,6.11
2014,0.31,1.997,5.72
2015,1.101,2.386,5.38
2016,0.643,2.289,4.69
2017,1.364,2.739,4
2018,1.158,3.492,3.66
2019,1.642,3.931,3.62
2020,0.639,2.211,4.35
2021,1.498,0.62,3.39
